index,clean_description,clean_title,description,outlet,title,uploaded,url,publishedAt,neg,neu,pos,compound,predicted_label
0,Strong hands look to have been backing the recent rally to record highs for Ethereum s ether,Big Investors Stacked Up Ether as Price Rose to Record High,Strong hands look to have been backing the recent rally to record highs for Ethereum’s ether ...,CoinDesk via Yahoo Finance,Big Investors Stacked Up Ether as Price Rose to Record High,22 hours ago,https://finance.yahoo.com/news/big-investors-stacked-ether-price-112914975.html,2021-01-25 12:26,0.0,0.29,0.71,0.9818,pos
11,Chainlink was among the first cryptocurrency to set a new all time high in 2020 but given its,Bearish Divergence Hints At First Major Chainlink Corrective Phase,"Chainlink was among the first cryptocurrency to set a new all-time high in 2020, but given its...",NewsBTC,Bearish Divergence Hints At First Major Chainlink Corrective Phase,8 hours ago,https://www.newsbtc.com/analysis/link/massive-bearish-divergence-hints-at-first-major-chainlink-corrective-phase/,2021-01-26 02:26,0.864,0.136,0.0,-0.997,neg
20,Bitcoin s price rose on Monday after a brutal sell off that saw the virtual currency briefly dip,Bitcoin price rises as second biggest cryptocurrency ether hits all time high,Bitcoin's price rose on Monday after a brutal sell-off that saw the virtual currency briefly dip...,CNBC,Bitcoin price rises as second-biggest cryptocurrency ether hits all-time high,19 hours ago,https://www.cnbc.com/2021/01/25/bitcoin-price-latest-ethereum-hits-all-time-high-btc-rises.html,2021-01-25 15:26,0.0,0.407,0.593,0.9682,pos
44,The price of Ether ETH the native cryptocurrency of the Ethereum blockchain network achieved a,ETH breaks out vs Bitcoin What s next for Ethereum after 100 gain in January,"The price of Ether (ETH), the native cryptocurrency of the Ethereum blockchain network, achieved a...",The Cointelegraph,ETH breaks out vs. Bitcoin — What's next for Ethereum after 100% gain in January?,22 hours ago,https://cointelegraph.com/news/eth-breaks-out-vs-bitcoin-what-s-next-for-ethereum-after-100-gain-in-january,2021-01-25 12:26,0.0,0.382,0.618,0.9818,pos
53,Grayscale Investments the world s largest digital asset manager has pledged 1 million to Coin,Grayscale donates 1M to Coin Center pledges up to 1M more in matched contributions,"Grayscale Investments, the world’s largest digital-asset manager, has pledged $1 million to Coin...",The Cointelegraph,"Grayscale donates $1M to Coin Center, pledges up to $1M more in matched contributions",19 hours ago,https://cointelegraph.com/news/grayscale-donates-1m-to-coin-center-pledges-up-to-1m-more-in-matched-contributions,2021-01-25 15:26,0.0,0.684,0.316,0.7906,pos
54,While Bitcoin has cornered the cryptocurrency narrative due to its parabolic increase in 2020,Here s Why Ethereum Could Beat Bitcoin As Best Asset Of 2021,"While Bitcoin has cornered the cryptocurrency narrative due to its parabolic increase in 2020,...",International Business Times,Here's Why Ethereum Could Beat Bitcoin As Best Asset Of 2021,21 hours ago,https://www.ibtimes.com/heres-why-ethereum-could-beat-bitcoin-best-asset-2021-3129902,2021-01-25 13:26,0.0,0.573,0.427,0.7717,pos
62,The word stablecoin can be used as a logical description for a cryptocurrency designed to have,All risk no gain The vague definition of stablecoins is causing problems,"The word ""stablecoin"" can be used as a logical description for “a cryptocurrency designed to have...",The Cointelegraph,"All risk, no gain? The vague definition of stablecoins is causing problems",14 hours ago,https://cointelegraph.com/news/all-risk-no-gain-the-vague-definition-of-stablecoins-is-causing-problems,2021-01-25 20:26,0.231,0.192,0.577,0.9705,pos
74,Ether ETH the main cryptocurrency of the Ethereum blockchain rose early Monday to a new all time,First Mover Bitcoin Flushes Weak Hands as Ethereum Hits New All Time High,"Ether (ETH), the main cryptocurrency of the Ethereum blockchain, rose early Monday to a new all-time...",CoinDesk via Yahoo Finance,First Mover: Bitcoin Flushes ‘Weak Hands’ as Ethereum Hits New All-Time High,19 hours ago,https://finance.yahoo.com/news/first-mover-bitcoin-flushes-weak-135843220.html,2021-01-25 15:26,0.097,0.368,0.535,0.959,pos
86,Strong hands look to be backing the recent rally to record highs for Ethereum s ether cryptocurrency The increased accumulation by investors with deep pockets may have put,Big Investors Stacked up Ether as Price Rose to Record High CoinDesk,Strong hands look to be backing the recent rally to record highs for Ethereum’s ether cryptocurrency. The increased accumulation by investors with deep pockets may have put ...,Coindesk,Big Investors Stacked up Ether as Price Rose to Record High - CoinDesk,22 hours ago,https://www.coindesk.com/big-investors-stacked-up-ether-as-price-rose-to-record-high,2021-01-25 12:26,0.0,0.312,0.688,0.9818,pos
97,After months of writing about Bitcoin I have finally taken the plunge and bought some of the,I ve been convinced to buy Bitcoin the odds are in my favour,"After months of writing about Bitcoin, I have finally taken the plunge and bought some of the...",The Telegraph via Yahoo News,I've been convinced to buy Bitcoin – the odds are in my favour,17 hours ago,https://www.yahoo.com/finance/news/ive-convinced-buy-bitcoin-odds-163151167.html,2021-01-25 17:26,0.0,0.641,0.359,0.6808,pos
132,The crypto miner said Monday that it purchased 4 812 66 Bitcoins for an aggregate purchase price of,Crypto Markets Show More Signs of Excess Amid Bitcoin Rebound,"The crypto miner said Monday that it purchased 4,812.66 Bitcoins for an aggregate purchase price of...",Bloomberg via Yahoo Finance,Crypto Markets Show More Signs of Excess Amid Bitcoin Rebound,18 hours ago,https://finance.yahoo.com/news/crypto-markets-show-more-signs-152354792.html,2021-01-25 16:26,0.0,0.3,0.7,0.9818,pos
420,The funds average rate of return was 166 compared with a more than 300 increase in Bitcoin The,Crypto Hedge Funds Underperformed Bitcoin During Rally Last Year,"The funds’ average rate of return was 166%, compared with a more than 300% increase in Bitcoin. The...",Bloomberg via Yahoo Finance,Crypto Hedge Funds Underperformed Bitcoin During Rally Last Year,12 hours ago,https://finance.yahoo.com/news/crypto-hedge-funds-underperformed-bitcoin-210643679.html,2021-01-25 22:26,0.0,0.333,0.667,0.9682,pos
421,One might think that in turn would make me bullish on Marathon Patent NASDAQ MARA stock After,Marathon Patent Is Not a Wise Play Even for Crypto Bulls,One might think that in turn would make me bullish on Marathon Patent (NASDAQ:MARA) stock. After...,InvestorPlace,Marathon Patent Is Not a Wise Play Even for Crypto Bulls,15 hours ago,https://investorplace.com/moneywire/2021/01/marathon-patent-mara-stock-is-not-a-wise-play-even-for-crypto-bulls/,2021-01-25 19:26,0.203,0.31,0.487,0.8862,pos
431,According to two sources familiar with the situation Harvard Yale Brown and the University of,Harvard Yale Brown Endowments Have Been Buying Bitcoin for at Least a Year Sources,"According to two sources familiar with the situation, Harvard, Yale, Brown and the University of...",CoinDesk via Yahoo Finance,"Harvard, Yale, Brown Endowments Have Been Buying Bitcoin for at Least a Year: Sources",12 hours ago,https://finance.yahoo.com/news/harvard-yale-brown-endowments-buying-213404726.html,2021-01-25 22:26,0.0,0.522,0.478,0.9325,pos
435,The U S dollar rose on Tuesday as rising coronavirus cases and doubts over the speed and size of U S stimulus tempered traders upbeat mood while investors were also cautious ahead of the,FOREX Dollar gains as stimulus nerves nudge investors to safety,"The U.S. dollar rose on Tuesday as rising coronavirus cases and doubts over the speed and size of U.S. stimulus tempered traders' upbeat mood, while investors were also cautious ahead of the ...",Reuters via Yahoo Finance,FOREX-Dollar gains as stimulus nerves nudge investors to safety,2 hours ago,https://finance.yahoo.com/news/forex-dollar-gains-stimulus-nerves-070103925.html,2021-01-26 08:26,0.043,0.217,0.739,0.984,pos
441,The decentralized finance sector continues to charge full steam ahead as multiple tokens notch new,45B DeFi market cap and soaring TVL suggest the best is yet to come,The decentralized finance sector continues to charge full steam ahead as multiple tokens notch new...,The Cointelegraph,$45B DeFi market cap and soaring TVL suggest the best is yet to come,12 hours ago,https://cointelegraph.com/news/45b-defi-market-cap-and-soaring-tvl-suggest-the-best-is-yet-to-come,2021-01-25 22:26,0.0,0.138,0.862,0.9986,pos
448,It was the day before Christmas and I was in a large electronics store looking to buy a video card,The Soul Killing Wallet Emptying Struggle to Buy a Video Card During a Pandemic,"It was the day before Christmas, and I was in a large electronics store looking to buy a video card...",Slate,"The Soul-Killing, Wallet-Emptying Struggle to Buy a Video Card During a Pandemic",15 hours ago,https://slate.com/technology/2021/01/video-card-shortage-nvidia-rtx30-ebay-whyyyy.html,2021-01-25 19:26,0.48,0.52,0.0,-0.8074,neg
455,On January 6th WhatsApp users around the world began seeing a pop up message notifying them of,Warning Signal the messaging app s new features are causing internal turmoil,"On January 6th, WhatsApp users around the world began seeing a pop-up message notifying them of...",The Verge,Warning Signal: the messaging app’s new features are causing internal turmoil,8 hours ago,https://www.theverge.com/22249391/signal-app-abuse-messaging-employees-violence-misinformation,2021-01-26 02:26,0.353,0.647,0.0,-0.5994,neg
456,Two Austrian men accused of helping Wirecard s former chief operating officer escape to Belarus have been arrested by police in Vienna According to a report from the Financial Times on Monday,Two Arrested for Orchestrating Escape of Wirecard Exec Accused of Fraud CoinDesk,Two Austrian men accused of helping Wirecard’s former chief operating officer escape to Belarus have been arrested by police in Vienna. According to a report from the Financial Times on Monday ...,Coindesk,Two Arrested for Orchestrating Escape of Wirecard Exec Accused of Fraud - CoinDesk,20 hours ago,https://www.coindesk.com/two-arrested-for-orchestrating-escape-of-wirecard-exec-accused-of-fraud,2021-01-25 14:26,0.484,0.426,0.09,-0.8126,neg
457,Ether s latest rally to all time highs appears to be driven in part by the sort of institutional,More Institutional Investors Are Buying Ether Seeing It as a Store of Value CoinDesk,"Ether’s latest rally to all-time highs appears to be driven, in part, by the sort of institutional...",Coindesk,"More Institutional Investors Are Buying Ether, Seeing It as a Store of Value - CoinDesk",11 hours ago,https://www.coindesk.com/institutional-investors-ether-rally,2021-01-25 23:26,0.0,0.451,0.549,0.9468,pos
470,The U S dollar rose on Tuesday as rising coronavirus cases and doubts over the speed and size of,FOREX Dollar gains as stimulus nerves nudge investors to safety,The U.S. dollar rose on Tuesday as rising coronavirus cases and doubts over the speed and size of...,Investing.com,FOREX-Dollar gains as stimulus nerves nudge investors to safety,4 hours ago,https://in.investing.com/news/forexdollar-gains-as-stimulus-nerves-nudge-investors-to-safety-2579331,2021-01-26 06:26,0.043,0.217,0.739,0.984,pos
471,FOREX Dollar gains as stimulus nerves nudge investors to safety,FOREX Dollar gains as stimulus nerves nudge investors to safety By Reuters,FOREX-Dollar gains as stimulus nerves nudge investors to safety,Investing.com,FOREX-Dollar gains as stimulus nerves nudge investors to safety By Reuters,4 hours ago,https://ng.investing.com/news/forex-news/forexdollar-gains-as-stimulus-nerves-nudge-investors-to-safety-329982,2021-01-26 06:26,0.041,0.263,0.696,0.984,pos
476,When it comes to the next big thing for independent platforms the newsletter platform Substack,Substack Newsletters Are Being Used to Spread Crypto Scams,"When it comes to the “next big thing” for independent platforms, the newsletter platform Substack...",CoinDesk via Yahoo Finance,Substack Newsletters Are Being Used to Spread Crypto Scams,13 hours ago,https://finance.yahoo.com/news/substack-newsletters-being-used-spread-203446626.html,2021-01-25 21:26,0.322,0.678,0.0,-0.5859,neg
549,Futures The Dow futures are up by 0 13 and the S P 500 futures are trading higher by 0 31 on the,Global Markets Start Week On Positive Note Ethereum Rally In Focus,"Futures: The Dow futures are up by 0.13%, and the S&P 500 futures are trading higher by 0.31% on the...",Benzinga via Yahoo Finance,"Global Markets Start Week On Positive Note, Ethereum Rally In Focus",24 hours ago,https://finance.yahoo.com/news/global-markets-start-week-positive-093825606.html,2021-01-25 10:26,0.0,0.315,0.685,0.9766,pos
580,In financial markets filled to the brim with froth one of the more speculative corners is showing signs of bubbling yet again Bitcoin rebounded from its sharp sell off last week which saw,Crypto Markets Show More Signs of Excess Amid Bitcoin Rebound,"In financial markets filled to the brim with froth, one of the more speculative corners is showing signs of bubbling yet again. Bitcoin rebounded from its sharp sell off last week which saw ...",Bloomberg,Crypto Markets Show More Signs of Excess Amid Bitcoin Rebound,18 hours ago,https://www.bloomberg.com/news/articles/2021-01-25/crypto-markets-show-more-signs-of-excess-amid-bitcoin-rebound,2021-01-25 16:26,0.0,0.3,0.7,0.9818,pos
